word,Macbeth frequency,NewAtlantis frequency,sum of frequencies
us,55,111,166
macb,137,0,137
upon,58,41,99
shall,68,25,93
thou,87,5,92
yet,57,29,86
also,1,82,83
enter,81,0,81
come,54,24,78
one,32,46,78
make,38,38,76
great,31,44,75
good,48,26,74
would,47,26,73
time,45,27,72
thee,61,7,68
king,52,12,64
hath,52,10,62
macbeth,61,0,61
thy,56,5,61
like,39,22,61
well,32,27,59
macd,58,0,58
man,33,25,58
know,33,20,53
say,38,14,52
things,23,28,51
give,24,26,50
rosse,49,0,49
men,16,33,49
lady,48,0,48
must,36,12,48
may,31,17,48
many,9,37,46
done,35,10,45
see,31,14,45
day,19,24,43
made,13,30,43
let,35,7,42
lord,37,4,41
said,5,36,41
doe,38,0,38
hand,23,14,37
land,3,34,37
tis,36,0,36
wife,34,2,36
three,13,23,36
ile,35,0,35
without,14,21,35
call,10,25,35
came,5,30,35
divers,1,34,35
we,0,35,35
banquo,34,0,34
feare,34,0,34
night,29,4,33
take,17,16,33
much,13,20,33
little,6,27,33
1,32,0,32
selfe,32,0,32
nature,20,12,32
though,17,15,32
within,17,14,31
exeunt,30,0,30
speake,29,0,29
every,16,13,29
might,7,22,29
use,6,23,29
house,6,23,29
lenox,28,0,28
sir,28,0,28
life,18,10,28
god,13,15,28
people,4,24,28
ever,13,14,27
state,7,20,27
mine,26,0,26
th,26,0,26
new,12,14,26
first,12,14,26
two,10,16,26
mal,25,0,25
thane,25,0,25
blood,23,2,25
love,19,6,25
put,16,9,25
father,13,12,25
light,9,16,25
set,7,18,25
banq,24,0,24
till,20,4,24
death,20,4,24
strange,16,8,24
son,16,8,24
could,14,10,24
world,6,18,24
(as,4,20,24
looke,23,0,23
sleepe,23,0,23
cannot,20,3,23
still,19,4,23
art,18,5,23
way,17,6,23
nothing,16,7,23
heaven,15,8,23
forth,6,17,23
likewise,0,23,23
scena,22,0,22
heere,22,0,22
thought,14,8,22
againe,21,0,21
cawdor,21,0,21
la,21,0,21
name,13,8,21
live,10,11,21
2,20,0,20
3,20,0,20
doct,20,0,20
heart,18,2,20
whose,14,6,20
none,13,7,20
never,13,7,20
place,11,9,20
thus,13,6,19
tell,10,9,19
rest,9,10,19
greater,3,16,19
heare,18,0,18
macduffe,18,0,18
worthy,15,3,18
leave,12,6,18
ye,3,15,18
far,1,17,18
number,0,18,18
think,0,18,18
&,17,0,17
has,17,0,17
shew,16,1,17
ere,15,2,17
left,6,11,17
part,5,12,17
water,4,13,17
unto,3,14,17
long,3,14,17
strangers,2,15,17
parts,0,17,17
bloody,16,0,16
knock,16,0,16
poore,16,0,16
dos,16,0,16
servant,11,5,16
go,11,5,16
bring,9,7,16
better,8,8,16
another,6,10,16
stay,5,11,16
sea,3,13,16
therefore,3,13,16
years,0,16,16
goe,15,0,15
ith,15,0,15
malc,15,0,15
dead,14,1,15
noble,13,2,15
hands,12,3,15
eyes,11,4,15
stand,11,4,15
words,10,5,15
friends,10,5,15
full,10,5,15
rather,8,7,15
earth,7,8,15
thing,7,8,15
former,5,10,15
called,5,10,15
feast,5,10,15
went,4,11,15
towards,4,11,15
end,4,11,15
amongst,0,15,15
several,0,15,15
family,0,15,15
ayre,14,0,14
theres,14,0,14
deed,14,0,14
peace,11,3,14
away,11,3,14
eye,11,3,14
sight,10,4,14
face,10,4,14
head,9,5,14
old,9,5,14
less,8,6,14
given,8,6,14
order,2,12,14
places,1,13,14
days,0,14,14
excellent,0,14,14
seen,0,14,14
natural,0,14,14
haile,13,0,13
comes,13,0,13
oth,13,0,13
pray,13,0,13
malcolme,13,0,13
exit,13,0,13
dare,13,0,13
sword,13,0,13
sey,13,0,13
welcome,11,2,13
hold,11,2,13
wood,11,2,13
country,5,8,13
knowledge,3,10,13
city,0,13,13
small,0,13,13
works,0,13,13
marriage,0,13,13
inventor,0,13,13
scotland,12,0,12
onely,12,0,12
thinke,12,0,12
keepe,12,0,12
bed,12,0,12
whats,12,0,12
kings,11,1,12
hence,11,1,12
else,11,1,12
morrow,11,1,12
grace,10,2,12
last,9,3,12
present,8,4,12
enough,8,4,12
sit,7,5,12
colours,6,6,12
together,5,7,12
high,5,7,12
stood,4,8,12
besides,3,9,12
found,3,9,12
others,3,9,12
brought,2,10,12
kind,1,11,12
sick,1,11,12
next,1,11,12
either,1,11,12
ship,0,12,12
that,0,12,12
gold,0,12,12
means,0,12,12
double,11,0,11
beene,11,0,11
finde,11,0,11
even,11,0,11
fight,11,0,11
gent,11,0,11
thine,10,1,11
lives,10,1,11
woman,10,1,11
born,9,2,11
almost,8,3,11
heard,8,3,11
children,7,4,11
desire,7,4,11
trouble,7,4,11
known,7,4,11
since,6,5,11
indeed,5,6,11
saw,5,6,11
answer,5,6,11
whole,4,7,11
instruments,3,8,11
blessing,3,8,11
right,3,8,11
birds,2,9,11
manner,1,10,11
find,0,11,11
six,0,11,11
bodies,0,11,11
ships,0,11,11
tirsan,0,11,11
honor,10,0,10
mac,10,0,10
beare,10,0,10
houre,10,0,10
duncan,10,0,10
thoughts,10,0,10
flye,10,0,10
seyward,10,0,10
report,9,1,10
get,9,1,10
hope,9,1,10
false,9,1,10
fell,8,2,10
hast,8,2,10
gone,8,2,10
lost,6,4,10
receive,5,5,10
strong,5,5,10
whether,4,6,10
least,4,6,10
happy,3,7,10
return,3,7,10
cast,3,7,10
body,3,7,10
past,2,8,10
wherein,1,9,10
(which,1,9,10
(for,0,10,10
fair,0,10,10
boat,0,10,10
persons,0,10,10
whereof,0,10,10
blue,0,10,10
cometh,0,10,10
true,0,10,10
laws,0,10,10
kingdom,0,10,10
salomons,0,10,10
motions,0,10,10
thunder,9,0,9
cry,9,0,9
royall,9,0,9
murther,9,0,9
tongve,9,0,9
thats,9,0,9
macduff,9,0,9
minde,9,0,9
lye,9,0,9
fleans,9,0,9
tyrant,9,0,9
truth,8,1,9
meet,7,2,9
gracious,7,2,9
attendants,6,3,9
round,6,3,9
business,6,3,9
ten,5,4,9
reason,5,4,9
care,5,4,9
health,5,4,9
thousand,4,5,9
question,4,5,9
alone,4,5,9
speech,4,5,9
strength,3,6,9
person,3,6,9
large,2,7,9
top,2,7,9
abroad,2,7,9
back,1,8,9
company,1,8,9
divine,1,8,9
chambers,1,8,9
somewhat,0,9,9
ask,0,9,9
nations,0,9,9
bensalem,0,9,9
kinds,0,9,9
experiments,0,9,9
witches,8,0,8
hee,8,0,8
himselfe,8,0,8
hang,8,0,8
ist,8,0,8
trve,8,0,8
feares,8,0,8
sorrow,8,0,8
hell,8,0,8
nights,8,0,8
dayes,8,0,8
drinke,8,0,8
knocking,8,0,8
best,8,0,8
lords,8,0,8
england,8,0,8
doctor,8,0,8
dunsinane,8,0,8
fortune,7,1,8
breath,7,1,8
bid,7,1,8
power,7,1,8
doth,6,2,8
word,6,2,8
fall,6,2,8
messenger,6,2,8
chamber,6,2,8
send,6,2,8
free,5,3,8
attend,5,3,8
purpose,5,3,8
cause,5,3,8
service,4,4,8
fit,4,4,8
seemed,3,5,8
countries,3,5,8
gave,2,6,8
told,2,6,8
foot,2,6,8
secret,2,6,8
unknown,2,6,8
colour,1,7,8
desired,1,7,8
neither,1,7,8
taste,1,7,8
humanity,0,8,8
answered,0,8,8
